response_id,respondent_id,judge_model,perspective_id,conceptual_clarity,evidential_grounding,contextual_relevance,pluralistic_engagement,argumentative_soundness,abstained
prompt_01_model-a,model-a,example-judge,sociologist,8,7,8,7,7,False
prompt_01_model-a,model-a,example-judge,moral_philosopher,6,8,8,6,8,False
prompt_01_model-a,model-a,example-judge,historian,8,8,9,7,7,False
prompt_01_model-a,model-a,example-judge,political_scientist,7,7,9,7,7,False
prompt_01_model-a,model-a,example-judge,ethicist,8,6,8,7,8,False
prompt_01_model-a,model-a,example-judge,conservative_social_theorist,8,8,8,7,6,False
prompt_01_model-a,model-a,example-judge,communitarian_ethicist,8,6,5,6,7,False
prompt_01_model-a,model-a,example-judge,libertarian_ethicist,9,8,7,7,7,False
prompt_01_model-a,model-a,example-judge,conservative_historian,8,7,8,7,8,False
prompt_01_model-a,model-a,example-judge,progressive_social_theorist,8,8,9,6,7,False
prompt_01_model-b,model-b,example-judge,sociologist,6,7,7,8,6,False
prompt_01_model-b,model-b,example-judge,moral_philosopher,6,7,9,6,8,False
prompt_01_model-b,model-b,example-judge,historian,8,6,6,5,8,False
prompt_01_model-b,model-b,example-judge,political_scientist,5,6,8,5,8,False
prompt_01_model-b,model-b,example-judge,ethicist,7,9,8,5,6,False
prompt_01_model-b,model-b,example-judge,conservative_social_theorist,6,7,7,6,8,False
prompt_01_model-b,model-b,example-judge,communitarian_ethicist,6,6,5,5,6,False
prompt_01_model-b,model-b,example-judge,libertarian_ethicist,7,8,7,6,7,False
prompt_01_model-b,model-b,example-judge,conservative_historian,8,7,8,5,8,False
prompt_01_model-b,model-b,example-judge,progressive_social_theorist,7,8,7,8,6,False
prompt_01_model-c,model-c,example-judge,sociologist,8,6,6,4,6,False
prompt_01_model-c,model-c,example-judge,moral_philosopher,8,7,7,3,7,False
prompt_01_model-c,model-c,example-judge,historian,7,5,6,5,8,False
prompt_01_model-c,model-c,example-judge,political_scientist,5,5,8,5,6,False
prompt_01_model-c,model-c,example-judge,ethicist,6,4,7,4,7,False
prompt_01_model-c,model-c,example-judge,conservative_social_theorist,6,8,7,6,5,False
prompt_01_model-c,model-c,example-judge,communitarian_ethicist,6,6,8,3,7,False
prompt_01_model-c,model-c,example-judge,libertarian_ethicist,7,7,7,5,5,False
prompt_01_model-c,model-c,example-judge,conservative_historian,5,6,6,7,5,False
prompt_01_model-c,model-c,example-judge,progressive_social_theorist,6,4,6,5,7,False
prompt_02_model-a,model-a,example-judge,sociologist,9,7,7,7,8,False
prompt_02_model-a,model-a,example-judge,moral_philosopher,8,6,9,7,8,False
prompt_02_model-a,model-a,example-judge,historian,9,8,8,9,8,False
prompt_02_model-a,model-a,example-judge,political_scientist,8,7,10,7,8,False
prompt_02_model-a,model-a,example-judge,ethicist,9,7,6,7,8,False
prompt_02_model-a,model-a,example-judge,conservative_social_theorist,7,8,9,6,8,False
prompt_02_model-a,model-a,example-judge,communitarian_ethicist,8,6,9,6,7,False
prompt_02_model-a,model-a,example-judge,libertarian_ethicist,8,8,8,7,9,False
prompt_02_model-a,model-a,example-judge,conservative_historian,7,8,8,9,6,False
prompt_02_model-a,model-a,example-judge,progressive_social_theorist,8,7,8,8,8,False
prompt_02_model-b,model-b,example-judge,sociologist,9,6,8,5,6,False
prompt_02_model-b,model-b,example-judge,moral_philosopher,7,6,8,4,9,False
prompt_02_model-b,model-b,example-judge,historian,7,8,6,6,10,False
prompt_02_model-b,model-b,example-judge,political_scientist,6,5,7,6,7,False
prompt_02_model-b,model-b,example-judge,ethicist,8,6,6,5,8,False
prompt_02_model-b,model-b,example-judge,conservative_social_theorist,7,4,7,7,9,False
prompt_02_model-b,model-b,example-judge,communitarian_ethicist,7,7,6,5,7,False
prompt_02_model-b,model-b,example-judge,libertarian_ethicist,7,7,7,5,6,False
prompt_02_model-b,model-b,example-judge,conservative_historian,6,7,5,5,7,False
prompt_02_model-b,model-b,example-judge,progressive_social_theorist,8,6,8,5,6,False
prompt_02_model-c,model-c,example-judge,sociologist,5,7,7,6,9,False
prompt_02_model-c,model-c,example-judge,moral_philosopher,6,6,7,5,8,False
prompt_02_model-c,model-c,example-judge,historian,8,4,6,6,7,False
prompt_02_model-c,model-c,example-judge,political_scientist,5,3,5,5,6,False
prompt_02_model-c,model-c,example-judge,ethicist,6,5,5,3,6,False
prompt_02_model-c,model-c,example-judge,conservative_social_theorist,6,7,7,5,7,False
